epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,2352.87,0.37994,0.40357,0.87303,0.99469,0.98321,0.99321,0.96321,0.24598,0.25035,0.79901,0.000250992,0.000250992,0.000250992
65,2391.61,0.38421,0.40474,0.87416,0.99512,0.97913,0.99217,0.95852,0.27478,0.2568,0.80144,0.000244389,0.000244389,0.000244389
66,2428.73,0.37144,0.40078,0.8709,0.99502,0.98023,0.99204,0.96032,0.25417,0.25021,0.7997,0.000237785,0.000237785,0.000237785
67,2462.99,0.37536,0.40236,0.87974,0.99581,0.98186,0.99296,0.96411,0.24803,0.24935,0.80052,0.000231182,0.000231182,0.000231182
68,2498.12,0.37496,0.4029,0.87454,0.99546,0.98123,0.99263,0.95943,0.26283,0.25196,0.79928,0.000224579,0.000224579,0.000224579
69,2533.97,0.38089,0.39596,0.86966,0.99489,0.9819,0.99297,0.96349,0.24268,0.24525,0.79887,0.000217976,0.000217976,0.000217976
70,2568.22,0.35784,0.38095,0.86485,0.99448,0.983,0.99276,0.96374,0.25221,0.24531,0.79916,0.000211372,0.000211372,0.000211372
71,2605.47,0.37874,0.39054,0.86843,0.99565,0.98213,0.99316,0.96431,0.23674,0.24194,0.79831,0.000204769,0.000204769,0.000204769
72,2637.3,0.36531,0.38767,0.86962,0.99633,0.9828,0.99324,0.96394,0.24876,0.24435,0.7989,0.000198166,0.000198166,0.000198166
73,2675.42,0.36347,0.37777,0.86791,0.995,0.98351,0.99316,0.96469,0.25076,0.24386,0.7977,0.000191562,0.000191562,0.000191562
74,2713.86,0.36229,0.38491,0.85864,0.99311,0.98297,0.99285,0.96276,0.25452,0.243,0.79892,0.000184959,0.000184959,0.000184959
75,2753.24,0.3645,0.37262,0.85904,0.99433,0.98185,0.9926,0.9657,0.23549,0.23688,0.796,0.000178356,0.000178356,0.000178356
76,2789.93,0.37186,0.38555,0.86945,0.996,0.98136,0.99322,0.96749,0.23862,0.23737,0.79681,0.000171752,0.000171752,0.000171752
77,2825.63,0.36605,0.37003,0.86632,0.99373,0.98359,0.99294,0.96614,0.23484,0.23331,0.79563,0.000165149,0.000165149,0.000165149
78,2861.88,0.35743,0.36649,0.86517,0.99387,0.98264,0.99265,0.96554,0.23662,0.22986,0.79663,0.000158546,0.000158546,0.000158546
79,2898.74,0.35598,0.3716,0.86,0.99289,0.98514,0.99315,0.96666,0.23546,0.23338,0.79601,0.000151943,0.000151943,0.000151943
80,2934.09,0.36237,0.36734,0.86371,0.99359,0.98351,0.99344,0.96683,0.23315,0.23244,0.79634,0.000145339,0.000145339,0.000145339
81,2968.74,0.35694,0.36932,0.86528,0.99438,0.98408,0.99343,0.96752,0.23645,0.23048,0.79593,0.000138736,0.000138736,0.000138736
82,3002.24,0.35499,0.36132,0.86527,0.99314,0.983,0.99284,0.96669,0.2306,0.22647,0.79553,0.000132133,0.000132133,0.000132133
83,3042,0.34302,0.35289,0.85855,0.99475,0.98282,0.99328,0.96522,0.25166,0.23093,0.79751,0.000125529,0.000125529,0.000125529
